timestamp,latitude,longitude,road_segment_id,traffic_volume,average_vehicle_speed,incident_type,weather_conditions,air_quality_index,day_of_week,time_of_day
2024-01-01 00:09:00,22.582534283060227,88.36113471397658,Chennai_3181,452,23.24428032439593,accident,cloudy,146,Monday,00:09:00
2024-01-01 00:14:00,22.585553770762015,88.39436059712816,Chennai_7568,442,32.87514353063128,none,cloudy,158,Monday,00:14:00
2024-01-01 00:14:00,28.609216932505536,77.20431726086102,Delhi_4104,259,44.41721593707414,none,clear,89,Monday,00:14:00
2024-01-01 00:14:00,22.60418425631015,88.37924869458305,Delhi_6914,486,43.271689109246914,none,haze,248,Monday,00:14:00
2024-01-01 00:16:00,19.0666105122813,72.88855120087172,Mumbai_2703,176,63.64162326606878,none,fog,98,Monday,00:16:00
2024-01-01 00:21:00,28.60463164614375,77.1996854049286,Kolkata_3761,301,55.65385943371764,road_closure,clear,157,Monday,00:21:00
2024-01-01 00:21:00,13.087539245431321,80.23243439510685,Bangalore_8933,100,44.45675201552515,none,fog,50,Monday,00:21:00
2024-01-01 00:21:00,12.93710164334974,77.58335424941518,Bangalore_8387,633,32.54537737834348,none,cloudy,292,Monday,00:21:00
2024-01-01 00:25:00,19.055743377593313,72.8839849466519,Kolkata_1596,365,47.07625588702567,none,clear,176,Monday,00:25:00
2024-01-01 00:30:00,13.064539518489577,80.2424539259733,Kolkata_1642,725,30.190428755535006,none,clear,245,Monday,00:30:00
2024-01-01 00:31:00,28.643212975378432,77.20448447399028,Bangalore_1936,520,37.80704774131706,none,clear,243,Monday,00:31:00
2024-01-01 00:39:00,13.08405056409376,80.24220503627573,Mumbai_8967,467,25.26006675345728,none,clear,98,Monday,00:39:00
2024-01-01 00:39:00,12.960712345509497,77.59681845179419,Kolkata_5060,312,36.7726584886036,none,clear,123,Monday,00:39:00
2024-01-01 00:44:00,28.590880128451555,77.21651396036691,Chennai_3968,243,46.85810150860727,none,cloudy,120,Monday,00:44:00
2024-01-01 00:47:00,12.959587226201624,77.58876612500413,Delhi_1090,478,11.142743250548378,none,clear,182,Monday,00:47:00
2024-01-01 00:47:00,19.063965867755414,72.91474556369019,Mumbai_3934,389,51.818943200098545,heavy_traffic,clear,140,Monday,00:47:00
2024-01-01 00:50:00,22.572330055505244,88.34274578142089,Kolkata_7025,199,38.810709002889304,heavy_traffic,clear,71,Monday,00:50:00
2024-01-01 01:02:00,12.988050898242065,77.57018312700058,Bangalore_3914,172,60.41838133265138,none,clear,83,Monday,01:02:00
2024-01-01 01:05:00,28.618077271900095,77.16980659752241,Kolkata_1772,256,56.3891600447091,none,cloudy,65,Monday,01:05:00
2024-01-01 01:12:00,19.049436279022032,72.88163722471738,Delhi_8849,673,29.325569568876162,none,clear,232,Monday,01:12:00
2024-01-01 01:12:00,12.986369331599908,77.59802736562379,Bangalore_1699,731,42.59298325701538,construction,cloudy,320,Monday,01:12:00
2024-01-01 01:14:00,22.570287034352237,88.35787792608822,Kolkata_9249,430,51.306973449249334,none,clear,171,Monday,01:14:00
2024-01-01 01:14:00,19.046429560192653,72.86330311583211,Bangalore_6400,422,41.085385291653594,heavy_traffic,clear,195,Monday,01:14:00
2024-01-01 01:18:00,19.066787224580803,72.89884244452438,Bangalore_7889,349,42.694903848083015,none,fog,178,Monday,01:18:00
2024-01-01 01:20:00,12.97847236579137,77.55933919689275,Chennai_2960,259,61.25982785664357,construction,cloudy,87,Monday,01:20:00
2024-01-01 01:21:00,12.978081679387897,77.58689835439168,Kolkata_3188,606,39.59513839407665,none,cloudy,253,Monday,01:21:00
2024-01-01 01:27:00,19.06246155999388,72.88993352577683,Kolkata_9578,681,44.90947168368143,none,clear,187,Monday,01:27:00
2024-01-01 01:29:00,22.59321999044992,88.38252560238233,Delhi_1963,265,26.17275925647263,none,cloudy,59,Monday,01:29:00
2024-01-01 01:30:00,28.59711564953555,77.20281575248298,Mumbai_9623,387,46.47235097019462,construction,haze,152,Monday,01:30:00
2024-01-01 01:34:00,22.579225268628072,88.38341090254245,Mumbai_2633,332,31.775909130306268,none,clear,126,Monday,01:34:00
2024-01-01 01:34:00,12.962016515243095,77.59088682046672,Chennai_1875,336,47.14211492513237,none,clear,105,Monday,01:34:00
2024-01-01 01:36:00,19.05387330051988,72.8537758675184,Mumbai_7361,577,45.50070208345883,construction,cloudy,223,Monday,01:36:00
2024-01-01 01:40:00,28.630150516447884,77.23612480057142,Delhi_5898,203,69.77890145749103,none,clear,77,Monday,01:40:00
2024-01-01 01:45:00,19.074559797568394,72.89777065795785,Mumbai_2873,469,33.03083271562814,none,haze,132,Monday,01:45:00
2024-01-01 01:52:00,22.579832720500953,88.3509976049079,Chennai_2967,509,35.65545194698017,none,cloudy,170,Monday,01:52:00
2024-01-01 02:05:00,28.62112791211017,77.23976073132933,Kolkata_9171,378,44.86967092924463,none,clear,168,Monday,02:05:00
2024-01-01 02:06:00,22.571883479217803,88.39519287311629,Kolkata_8187,533,30.267188985381097,none,clear,219,Monday,02:06:00
2024-01-01 02:07:00,22.520205097918208,88.3803380500875,Mumbai_7369,422,53.96059728789257,construction,clear,136,Monday,02:07:00
